FY ,Project Name,Project Address,Project City,Project Zip,Project County,Units,ProjectType
2012,Halpine Hamlet,5511 Halpine Place,Rockville,20851,Montgomery,67,Rehab
2012,Hilltop Phase 1,3675 Mount Ida Drive,Ellicott City,21043,Howard,198,New
2012,Homes at Elkton,500 Abbott Drive,Elkton,21921,Cecil,98,New
2012,Park View at Fullerton,4300 Cardwell Avenue,Nottingham,21236,Baltimore,90,Rehab
2012,Lillian Jones Apartments,1303 Greenmount Avenue,Baltimore,21202,Baltimore City,74,New
2012,The Greens at Irvington Mews,4300 Frederick Avenue,Baltimore,21229,Baltimore City,100,New
2012,CHA Bailey 2 aka 2301 N. Charles Street,2301 N. Charles Street,Baltimore,21218,Baltimore City,7,Rehab
2012,North Avenue Gateway,3001-3047 W. North Avenue,Baltimore,21216,Baltimore City,64,New
2012,"Foxtail Crossing, II",116 Zachary Drive,Cambridge,21613,Dorchester,48,New
2012,Villages at Highland Commons,1-22 Polk Street,Aberdeen,21001,Harford,22,New
2012,Richmond Hill Senior Apartments,100 Carter Court,Perryville,21903,Cecil,40,Rehab
2013,Pikeswood Park Apartments,3801 Schnaper Drive,Randallstown,21133,Baltimore,140,Rehab
2013,Village Crossroads Senior Housing,4313-A Fitch Avenue,Nottingham,21236,Baltimore,94,New
2013,Way Station Welcome Home Veterans Housing,,Hagerstown,21740,Washington,27,Rehab
2013,Mulberry Hills Apartments,1020 N. Washington Street,Easton,21601,Talbot,128,Rehab
2013,Eastern Avenue Apartments,506 62nd Place,Capitol Heights,20731,Prince George's,88,Rehab
2013,Columbus School,2000 E. North Avenue,Baltimore,21213,Baltimore City,49,New
2013,New East Crossing,400 Razor Strap Road,North East,21901,Cecil,72,New
2013,Fells Point Station Apartments,1621 Bank Street,Baltimore,21231,Baltimore City,47,New
2014,Weinberg Family Center at Park Heights,,Baltimore,21075,Baltimore City,18,New
2014,Weinberg Manor South aka Manor South,3617 Fords Lane,Arlington,21215,Baltimore City,90,New
2014,North Creek Run Phase II,Stoney Run Creek Road,North East,21901,Cecil,22,New
2014,Village Oaks Apartments,815 Winters Lane,Catonsville,21228,Baltimore,181,Rehab
2014,Seton Village,333 S. Seton Avenue,Emmitsburg,21727,Frederick,43,Rehab
2014,North Street Senior Apartments,214 North Street,Elkton,21921,Cecil,53,New
2014,Stewarts Neck Apartments,30512 Nutters Lane,Princess Anne,21853,Somerset,36,Rehab
2014,Rivers Edge Apartments and Studio for the Arts,670 Fitzwater Street,Salisbury,21801,Wicomico,90,New
2014,Essex House,7777 Maple Avenue,Takoma Park,20903,Montgomery,135,Rehab
2014,EHM at Calvert Street,"1623, 1625, N. Calvert Street",Baltimore,21201,Baltimore City,18,Rehab
2014,Bon Secours Benet House,400 Millington Avenue,Baltimore,21223,Baltimore City,101,Rehab
2014,Park View at Laurel II,9010 Briarcroft Avenue,Laurel,20708,Prince George's,105,Rehab
2014,Riverwoods at North East,125 Railroad Lane,North East,21901,Cecil,76,New
2014,The Parklands at Cecilton,203 E. Main Street,Cecilton,21913,Cecil,62,New
2014,Timbercroft Apartments,67 Timbergrove Road,Owings Mills,21117,Baltimore,284,Rehab
2014,Memorial Apartments,301 McMechen Street,Baltimore,21217,Baltimore City,266,Rehab
2014,Alcott Place,2702 Keyworth Avenue,Baltimore,21230,Baltimore City,51,Rehab
2014,Locust House Apartments,30 Locust Street,Westminster,21157,Carroll,98,Rehab
2014,Poppleton Phase III,858-876 Fayette Street,Baltimore,21201,Baltimore City,32,New
2014,Hollins Station aka Hollins Place,4374 Hollins Ferry,Arbutus,21227,Baltimore,48,New
2015,Cannon St. Apts & Satterfield Court,Cannon St. Apts & Satterfield Court,Chestertown,21620,Kent,22,Rehab
2015,Samuel Chase Apartments Bond,12354 Somerset Avenue and 12381 Fenlon Circle,Princess Anne,21853,Somerset,60,Rehab
2015,Chapel Springs Senior Apartments,9630 Dietz Place,Perry Hall,21128,Baltimore,127,New
2015,The Residences at Woodland Springs,Rochell Avenue & Atwood Street,District Heights,20747,Prince George's,36,New
2015,Sarah's Hope,,Baltimore,21217,Baltimore City,138,Rehab
2015,Old Towne Manor,1510A East Old Towne Road,Cresaptown,21502,Allegany,138,Rehab
2015,Silver Spring Library Residences,935 Bonifant Street,Silver Spring,20910,Montgomery,149,New
2015,Winstons Choice Family Homes,Lots 26 to 5 Taft and Truman Street,Aberdeen,21001,Harford,36,New
2015,Churchill Senior Living Phase II,21000 Father Hurley Boulevard,Germantown,20874,Montgomery,133,New
2015,Fulton-Gethsemane Village,2600 Pennsylvania Avenue,Baltimore,21217,Baltimore City,61,New
2015,Mary Harvin Center,160 N Chester Street,Baltimore,21213,Baltimore City,61,New
