FY ,Project Name,Project Address,Project City,Project Zip,Project County,Units,ProjectType
2018,Momentum at Shady Grove Metro,16011 Redland Road,Derwood,20855,Montgomery,110,New
2018,Hillside Senior Living,200 Skidmore BLVD,Gaithersburg,20788,Montgomery,140,Rehab
2018,Calvert Pines II,470 Dares Beach Road,Prince Frederick,20678,Calvert,48,Rehab
2018,Central Gardens II,6804 Central Avenue,Seat Pleasant,20743,Prince George's,106,Rehab
2018,Chesapeake Commons,601 Eutaw Street,Baltimore,21201,Baltimore City,98,Rehab
2018,Dring's Reach,3407 Robey Terrace,Silver Spring,20904,Montgomery,104,Rehab
2018,Eastgate Village,1701 Eastgate Drive,Salisbury,21804,Wicomico,61,Rehab
2018,Homecrest House III,14514 Homecrest Road,Silver Spring,20906,Montgomery,42,Rehab
2018,Mallard Ridge Apts,508 Bay Street,Berlin,21811,Worcester,30,Rehab
2018,Renaissance Plaza II,2502& 2601 Madison Place,Baltimore,21205,Baltimore City,207,Rehab
2018,Schumaker Place Apts.,816 Schumaker Street,Salisbury,21804,Wicomico,96,Rehab
2018,Union Avenue,1420 - 36 Union Avenue,Baltimore,21211,Baltimore City,54,Rehab
2018,Broadway Apartments/Weinberg House Apartments,222 Broadway Street,Frederick,21701,Frederick,24,Rehab
2019,THE WILLOWS AT CENTREVILLE,311-1622 BRADLEY DRIVE,CENTREVILLE,21617,Queen Anne's,70,New
2019,ROCK SPRING STATION,2000 ROCK SPRINGS ROAD,FOREST HILL,21050,Harford,54,New
2019,ORCHARD PARK AT BALLENGER RUN,"5203, 5213, 5214, and 5224 Black Locust Drive",FREDERICK,21701,Frederick,210,New
2019,WINTER'S LANE,24 SHIPLEY AVENUE,CATONSVILLE,21128,Baltimore,15,Rehab
2019,MONUMENT EAST,633 AISQUITH STREET,BALTIMORE,21202,Baltimore City,170,Acq/Rehab
2019,PARK SQUARE HOMES,101 & 201 NORTH SCHRODER STREET,BALTIMORE,21223,Baltimore City,267,New
2019,THE SQUARE AT MERRITT MILL,2700 Block of Merritt Mill Road,SALISBURY,21801,Wicomico,75,New
2019,RED RUN STATION,10630 RED RUN BOULEVARD,OWINGS MILLS,21117,Baltimore,72,New
2019,PACA HOUSE,118 N PACA STREET,BALTIMORE,21201,Baltimore City,92,New/Acq/Rehab
2019,Walbrook Mill Apartments,2636 West North Avenue,BALTIMORE,21216,Baltimore City,65,New
2019,Bowman Housing for Veterans,61 W Washington Street(43A-43F Clay Street),Annapolis,21401,Anne Arundel,6,New
2019,Patuxent Cove,22014 Pegg Road,Lexington Park,20653,St. Mary's,60,New
2019,LakeView at Victoria Park,11080 Weymouth Ct,WALDORF,21001,Charles,108,Acq/Rehab
2019,J. Van Story Branch Apts,11 West 20th Street,BALTIMORE,21218,Baltimore City,350,Acq/Rehab
2019,Heritage Crossing II,500 N. Fremont Avenue,BALTIMORE,21201,Baltimore City,75,Acq/Rehab
2019,Willow Manor @Fairland,13605 Robey Road,SILVER SPRING,20904,Montgomery,121,New
2019,Victory Haven,9616 Main Street,DAMASCUS,20872,Montgomery,72,New
2019,The Village at Slippery Hill,"210,925,215 &320 Fallen Horse Cir",GRASONVILLE,20653,Queen Anne's,66,New
2019,Homes on Quaker Lane,17330 Quaker Lane,SANDY SPRING,20860,Montgomery,80,New
2019,Schumaker Place Apts,818 S. Schumaker Drive,SALISBURY,21804,Wicomico,96,Acq/Rehab
2019,Bay Country Apartments,522 Greenwood Avenue,CAMBRIDGE,21613,Dorchester,144,Acq/Rehab
2019,Main Street Apartments,50 Monroe Place,Rockville,20850,Montgomery,70,New
2019,Riverwoods at Tollgate II,3803 Monument Circle,Abingdon,21009,Harford,57,New
2019,Headen House Apartments,3034 October Place,Waldorf,20602,Charles,136,Acq/Rehab
2019,Huntington Apartment,3000 Gallery Place,Waldorf,20602,Charles,204,Acq/Rehab
2019,Sharpe Square,820 Motter Avenue,FREDERICK,21701,Frederick,86,New
2019,Park View at Taylor,4102 Taylor Avenue,Nottingham,21236,Baltimore,100,Acq/Rehab
2019,Park View at Woodlawn,2020 Featherbed Lane,BALTIMORE,21207,Baltimore City,101,Acq/Rehab
2019,Broadway Homes,scattered sites,"Baltimore City, Balt Co",,Baltimore City,58,Acq/Rehab
2019,Springford Garden&School House,1 Whitehall Cirlce&60 Old School House,Elkton/Port Deposit,21921,Cecil,69,Acq/Rehab
2019,1234 McElderry,1234 McElderry Street,BALTIMORE,21202,Baltimore City,104,New
2019,Silver Spring Artspace,801 Sligo Avenue,SILVER SPRING,20910,Montgomery,68,New
2019,Remington Accessible Housing 3,scattered sites,Scattered sites,,Baltimore,5,Rehab
2019,Greenmount & Chase,700 East Chase Street&1107-1111 Green,Baltimore,21202,Baltimore City,60,New
2019,900 Thayer Apts,8240 Fenton Street,SILVER SPRING,20910,Montgomery,124,New
2021,River Bend Court,"46,50,52 Lamont St/75,95 W.Oldtown",Cumberland,21502,Allegany,77,Rehab/Acq
2021,Renaissance Row,Park Heights and Rosewood,Baltimore,21215,Baltimore City,84,New
2021,Knowles Manor Sr Housing,3910 Knowles Avenue,Kensington,20895,Montgomery,94,New
2021,Greenspring Overlook Apts,2406 Loyola Northway,Baltimore,21215,Baltimore City,189,Rehab/Acq
2021,Pleasant Manor,301 S Church Street,Snow Hill,21863,Worcester,31,Rehab/Acq
2021,Taneytown Crossing,Harney Road and Westview Drive,Taneytown,21787,Carroll,36,New
2021,Bauer Park Apartments,14635 Bauer Drive,Rockville,20853,Montgomery,142,Rehab/Acq
2021,Suitland Senior,2901 Toles Park Drive,Suitland,20746,Prince George's,137,New
2021,Princess Anne Townhouses,30475 Pine Knoll Drive,Princess Anne,21853,Somerset,120,Rehab/Acq
2021,Hickory Ridge Place,10799 Hickory Ridge Road,Columbia,21004,Howard,108,Rehab/Acq
2021,Henrietta Lacks Village III,411 New Pittsburg Ave,Turner Station,21222,Baltimore,36,Rehab/Acq
2021,Henrietta Lacks Village II,411 New Pittsburg Ave,Turner Station,21222,Baltimore,90,Rehab/Acq
2021,Willows at Berlin,312 Maple Avenue,Berlin,21811,Worcester,65,New/Rehab
2021,Snowden's Ridge Apartments,2105-A Harlequin Terrace,Silver Spring,20904,Montgomery,87,Rehab/Acq
2021,McCleary Hill II,W Washington St,Hagerstown,21740,Washington,79,New
2021,Newtowne 20,800-1214 Newtowne Drive,Annapolis,21401,Anne Arundel,78,New
2021,Townes at Peerless,15507 Peerless Avenue,Upper Marlboro,20772,Prince George's,62,New
2021,Port Covington-Rye Street,255 Atlas Street/Rye Street,Baltimore,21230,Baltimore City,254,New
2021,Hillbrooke Towers,515 Thayer Ave,Silver Spring,20910,Montgomery,55,Rehab/Acq
2021,Allegany Junction,100 East Reynolds Street,Cumberland,21502,Allegany,40,New
2021,Rosemont Gardens / Rosemont Apartments 4 LLC,2304 Winchester Street,Baltimore,21216,Baltimore City,131,Rehab/Acq
2021,Rosemont Gardens 9,2304 Winchester Street,Baltimore,21216,Baltimore City,68,Rehab/Acq
2021,New Safehouse for Sexual Assault Spouse Abuse,,Bel Air,21014,Harford,10,Rehab
2021,525 Aisquith Apartments,525 Aisquith Street,Baltimore,21202,Baltimore City,128,New
2021,520 Somerset Apartments,520 Somerset Street,Baltimore,21202,Baltimore City,69,New
2021,Hamilton Station 4%MBP,33 Hamilton Avenue,Frederick,21701,Frederick,80,New
2022,Sojourner at Oliver,1201 E Preston Street,Baltimore,21213,Baltimore City,70,New
2022,Parkway Overlook 9%,1600 N Hilton Street,Baltimore,21216,Baltimore City,62,Rehab/Acq
2023,Highlandtown Plaza Co-op Apartments,155 Grundy Street,Baltimore,21224,Baltimore City,81,Rehab/Acq
2023,Guardian House,23 South Gay Street,Baltimore,21202,Baltimore City,66,Rehab/Acq
2023,South Street Senior,"120, 122 West South Street",Frederick,21701,Frederick,96,New
2023,South Street Family,"110,124, 130 West Street",Frederick,21701,Frederick,56,New/Rehab
2023,The Cascades of Frederick,360 Prospect Blvd,Frederick,21701,Frederick,151,New
2023,Roslyn Rise 9,10301-10421 Twin Rivers Road,Columbia,21044,Howard,59,New
2022,Parkway Overlook 4%,1600 N Hilton Street,Baltimore,21216,Baltimore City,118,Rehab/Acq
2022,Willows at Rudy Park,150 E. Main Street,Elkton,21921,Cecil,68,New
2022,Alexander House Senior,7 E. Washington Street,Hagerstown,21740,Washington,95,Rehab/Acq
2022,Weinberg - House of Ruth,,Baltimore,21218,Baltimore City,29,Rehab/Acq
2023,Roslyn Rise 4,10339 Twin Rivers Road,Columbia,21044,Howard,94,New
2023,Cold Spring Lane 4,3003-3025 West Cold Spring Lane,Baltimore,21215,Baltimore City,107,New
2023,Cold Spring Lane 9,"2926, 2928, 3006 Boarman Avenue",Baltimore,21215,Baltimore City,56,New
2022,Park View at Ellicott City II,8720 Ridge Road,Ellicott City,21043,Howard,91,Rehab
2022,Park View at Furnace Branch,7466 E Furnace Branch Road,Glen Burnie,21060,Anne Arundel,101,Rehab
2022,Park View at Snowden River,8610 Snowden River Parkway,Columbia,21045,Howard,100,Rehab
2022,Chrysalis House,,Crownsville,21032,Anne Arundel,14,New
2022,Woodyard Station Family,8999 Woodyard Road,Clinton,20735,Prince George's,46,New
2022,Woodyard Station Senior,8800 Mimosa Avenue,Clinton,20735,Prince George's,112,New
2023,Greenside Apartments,14036 Village Mill Drive,Maugansville,21767,Washington,72,Rehab/Acq
2022,Tremont Place,505 Tremont Drive,Westminster,21157,Carroll,82,Rehab/Acq
2022,"Homes at Gateway Village fka Gateway Village Phase 1, 2, & 3",939 Gateway Street,Salisbury,21801,Wicomico,153,Rehab/Acq
2022,Brookmeadow Apartments,150 & 160 Flatland Road,Chestertown,21690,Kent,67,Rehab/Acq
2022,Ellicott Garden Two,5511 and 5513 Waterloo Road,Ellicott City,21040,Howard,70,New
2022,Homes at Oxon Hill,"1313 Southern Avenue, S.E.",Oxon Hill,20745,Prince George's,163,New
2022,Windsor Valley III,570 Meadowwood Drive,Edgewood,21040,Harford,283,Rehab/Acq
2022,Hillwood Manor,7101 New Hampshire Avenue,Takoma Park,20903,Montgomery,140,Rehab
2022,Georgian Court,3600 Bel Pre Road,Aspin Hills,20906,Montgomery,147,Rehab/Acq
2022,Shady Grove,16125 Crabbs Branch Way,Derwood,20855,Montgomery,144,Rehab/Acq
2022,Willow Manor Properties (Scattered),18301 Georgia Avenue,Olney,20832,Montgomery,286,Rehab/Acq
2022,Village at Blenheim Run,1919 & 1921 Pulaski Highway,Havre de Grace,21078,Harford,51,New
2022,Woodside Gardens,704 Newtowne Road,Annapolis,21401,Anne Arundel,144,Rehab/Acq
2022,Sandy Spring Senior Village,17810 Meeting House Road & 900 Olney-Sandy Srping,Sandy Spring,20860,Montgomery,56,Rehab/Acq
2022,Woodland Gardens II,4701 Park Heights Avenue,Baltimore,21215,Baltimore City,75,New
2022,St. Anne's Apartments,25104 Ridge Road,Damascus,20872,Montgomery,76,New
2022,Perkins Phase I - PSO,1401 E. Pratt St,Baltimore,21231,Baltimore City,103,New
2022,Brock Bridge Landing,7902 Brick Bridge Road,Jessup,20794,Anne Arundel,38,New
2022,Overlook Manor,101 Tillman Place,Frederick,21703,Frederick County,63,Rehab/Acq
2022,Canton Overlook,1617 Broening Highway,Baltimore,21224,Baltimore City,150,New
2022,Weinberg Place Apartments,5809 Park Heights Avenue,Baltimore,21215,Baltimore City,227,Rehab/Acq
2022,Residence at Springbrook,8230 Schultz Road,Clinton,20735,Prince George's,90,New
2022,North Montgomery Senior Housing,19105 Frederick Road,Gaithersburg,20879,Montgomery,111,New
2022,420 Aisquith,420 Aisquith Street,Baltimore,21202,Baltimore City,72,New
2023,Admiral's Landing 4 (Fox Chase Village),45970 Foxchase Drive,Great Mills,20634,St. Mary's,55,Rehab/Acq
2023,Admiral's Landing 9 (Foxchase Village Rehab),45910-45955 Foxchase Drive,Great Mills,20634,St. Mary's,79,Rehab/Acq
2023,Tuerk House- Ashburton,,Baltimore,21216,Baltimore City,88,Rehab/Acq
2023,Crestwood (9%),5614 New Design Road,Frederick,21073,Frederick,60,New
2023,4010 Randolph Road,4010 Randolph Road,Silver Spring,20902,Montgomery,168,New
2023,Crestwood (4%),5614 New Design Road,Frederick,21073,Frederick,60,New
2023,Willow Manor at Cabin Branch,"Little Seneca Pkwy. (East of Broadway Avenue and north of W. Old Baltimore Road, with approximate latitude and longitude coordinates of 39°12'58.1""N 77°16'56.1""W )",Clarksburg,20841,Montgomery,125,New
2023,Autumn Woods,5033 57th Avenue,Bladensburg,20710,Prince George's,481,Rehab/Acq
